,time,open,high,low,close,volume
0,2023-11-24,22.59,22.96,21.67,22.96,20182509
1,2023-11-27,22.96,23.13,22.25,22.25,8128216
2,2023-11-28,22.17,22.67,21.46,22.59,12236004
3,2023-11-29,22.59,23.01,22.55,22.84,8673701
4,2023-11-30,22.88,23.26,22.59,22.75,10075700
5,2023-12-01,22.88,22.92,22.21,22.59,9561029
6,2023-12-04,22.92,23.93,22.88,23.72,16517443
7,2023-12-05,23.76,23.97,23.38,23.38,10176758
8,2023-12-06,23.42,24.09,23.17,24.09,16512405
9,2023-12-07,24.22,24.72,22.8,23.97,22030806
10,2023-12-08,24.13,24.13,23.38,24.01,13070777
11,2023-12-11,23.97,23.97,23.17,23.26,9477035
12,2023-12-12,23.38,23.51,22.63,22.63,12867192
13,2023-12-13,22.8,22.88,21.92,22.04,15801175
14,2023-12-14,22.42,22.42,21.75,21.83,12175972
15,2023-12-15,21.92,22.42,21.58,22.0,16754830
16,2023-12-18,22.0,22.17,21.75,22.0,7632975
17,2023-12-19,22.0,22.17,21.29,22.17,11797909
18,2023-12-20,22.25,22.34,22.0,22.08,5968867
19,2023-12-21,21.92,22.17,21.79,22.08,5155601
20,2023-12-22,22.17,22.8,22.17,22.42,8472149
21,2023-12-25,22.59,23.26,22.17,23.05,12973527
22,2023-12-26,23.26,23.34,23.01,23.26,7021840
23,2023-12-27,23.34,23.47,23.13,23.13,8419119
24,2023-12-28,23.13,23.42,22.96,23.17,9371408
25,2023-12-29,23.26,23.38,23.13,23.3,7847218
26,2024-01-02,23.38,23.47,22.59,22.59,9958743
27,2024-01-03,22.42,23.09,22.42,23.01,7334308
28,2024-01-04,23.05,23.59,22.88,23.01,12839792
29,2024-01-05,22.96,23.38,22.96,23.09,8878035
30,2024-01-08,23.34,23.93,23.21,23.55,15840709
31,2024-01-09,23.67,24.22,23.55,23.93,16641623
32,2024-01-10,23.84,23.84,23.09,23.42,14456257
33,2024-01-11,23.26,23.51,23.01,23.26,7884548
34,2024-01-12,22.88,23.17,22.63,23.09,12890228
35,2024-01-15,23.13,23.26,22.59,22.59,6791846
36,2024-01-16,22.25,23.13,22.25,23.13,5559154
37,2024-01-17,23.13,23.55,23.05,23.09,8140790
38,2024-01-18,23.42,23.76,23.13,23.38,10807747
39,2024-01-19,23.59,23.67,23.09,23.09,6073096
40,2024-01-22,23.09,23.51,22.8,23.42,10291044
41,2024-01-23,23.63,23.67,23.21,23.26,5576868
42,2024-01-24,23.21,23.51,23.09,23.09,5901293
43,2024-01-25,23.26,23.34,23.05,23.17,3550872
44,2024-01-26,23.21,24.01,23.21,23.84,24485664
45,2024-01-29,24.01,24.01,23.59,23.59,5423355
46,2024-01-30,23.59,23.8,23.17,23.8,9843355
47,2024-01-31,23.88,23.97,23.42,23.42,12420979
48,2024-02-01,23.42,23.76,23.38,23.63,6033109
49,2024-02-02,23.76,25.26,23.76,24.68,32634070
50,2024-02-05,24.93,25.05,24.72,24.85,5148797
51,2024-02-06,25.01,25.39,24.85,25.05,8202897
52,2024-02-07,25.05,25.26,24.89,25.14,7661292
53,2024-02-15,25.22,25.26,24.68,24.85,11519385
54,2024-02-16,24.97,25.35,24.72,24.85,9595900
55,2024-02-19,24.93,24.93,24.34,24.55,12663505
56,2024-02-20,24.64,25.05,24.39,24.68,8317638
57,2024-02-21,24.72,25.01,24.51,24.68,6463977
58,2024-02-22,24.68,24.8,24.3,24.34,8799045
59,2024-02-23,24.34,24.43,23.34,23.42,24758053
60,2024-02-26,23.42,23.76,23.17,23.63,7824650
61,2024-02-27,23.72,24.26,23.63,24.13,12301475
62,2024-02-28,24.18,24.26,23.72,24.01,8799806
63,2024-02-29,24.01,24.68,23.84,24.26,16370857
64,2024-03-01,24.47,24.47,24.13,24.26,7279110
65,2024-03-04,24.68,25.22,24.51,24.55,16904695
66,2024-03-05,24.55,24.59,24.05,24.26,12115741
67,2024-03-06,24.18,24.18,23.59,23.72,11084807
68,2024-03-07,23.63,24.01,23.55,23.97,10101108
69,2024-03-08,24.01,24.09,23.42,23.42,13474974
70,2024-03-11,23.42,23.51,22.84,22.92,11167651
71,2024-03-12,22.75,23.17,22.75,22.96,8386992
72,2024-03-13,23.05,23.55,23.01,23.55,8293833
73,2024-03-14,23.67,23.84,23.3,23.51,12328992
74,2024-03-15,23.51,24.18,23.42,23.51,15817470
75,2024-03-18,23.59,24.64,22.63,24.34,27382420
76,2024-03-19,24.68,25.01,24.01,24.01,14121970
77,2024-03-20,24.01,24.26,23.72,24.05,9301518
78,2024-03-21,24.39,25.72,24.05,25.72,40209143
