,time,open,high,low,close,volume
0,2023-11-24,14.34,14.46,13.91,14.2,4698748
1,2023-11-27,14.15,14.15,13.84,13.84,3050650
2,2023-11-28,13.84,14.15,13.6,14.15,3738613
3,2023-11-29,14.12,14.31,13.98,14.12,1780760
4,2023-11-30,14.05,14.2,13.94,13.94,2757865
5,2023-12-01,13.98,14.1,13.86,14.05,2696825
6,2023-12-04,14.08,14.41,14.08,14.27,4762393
7,2023-12-05,14.29,14.31,14.12,14.2,3094771
8,2023-12-06,14.17,14.41,14.17,14.36,2490541
9,2023-12-07,14.43,14.67,14.31,14.57,5845954
10,2023-12-08,14.57,14.64,14.46,14.62,2750225
11,2023-12-11,14.62,14.64,14.48,14.57,1615268
12,2023-12-12,14.57,14.67,14.53,14.67,2168646
13,2023-12-13,14.71,14.71,14.41,14.41,3109879
14,2023-12-14,14.55,14.57,14.43,14.43,2553679
15,2023-12-15,14.43,14.55,14.36,14.46,2153765
16,2023-12-18,14.46,14.48,14.2,14.2,2379664
17,2023-12-19,14.17,14.46,14.08,14.46,2110482
18,2023-12-20,14.31,14.43,14.24,14.34,1747233
19,2023-12-21,14.31,14.48,14.24,14.48,2483222
20,2023-12-22,14.41,14.55,14.38,14.46,1854701
21,2023-12-25,14.55,14.64,14.46,14.62,2573593
22,2023-12-26,14.57,14.64,14.53,14.55,1508215
23,2023-12-27,14.57,14.71,14.57,14.57,2016434
24,2023-12-28,14.6,14.95,14.6,14.88,5754815
25,2023-12-29,14.97,15.09,14.88,15.02,4233088
26,2024-01-02,15.07,15.23,15.02,15.16,3711936
27,2024-01-03,15.07,15.4,15.05,15.4,5612090
28,2024-01-04,15.4,15.9,15.38,15.64,10076237
29,2024-01-05,15.64,15.78,15.59,15.68,3571390
30,2024-01-08,15.83,16.13,15.75,16.11,6326633
31,2024-01-09,16.06,16.3,15.97,16.3,6902873
32,2024-01-10,16.32,16.39,16.18,16.25,7191724
33,2024-01-11,16.2,16.34,15.97,16.13,6733180
34,2024-01-12,15.99,16.39,15.85,16.37,10188187
35,2024-01-15,16.39,16.44,16.2,16.2,3728651
36,2024-01-16,16.11,16.16,15.97,16.13,4460247
37,2024-01-17,16.13,16.37,16.06,16.08,4420973
38,2024-01-18,16.18,16.34,16.08,16.25,4109183
39,2024-01-19,16.34,16.6,16.3,16.51,7949602
40,2024-01-22,16.68,16.68,16.39,16.51,4315163
41,2024-01-23,16.77,17.01,16.72,16.75,10077334
42,2024-01-24,16.65,16.79,16.65,16.65,3142400
43,2024-01-25,16.65,16.65,16.49,16.53,4272604
44,2024-01-26,16.56,16.77,16.53,16.72,3146339
45,2024-01-29,16.75,16.84,16.63,16.65,3146439
46,2024-01-30,16.58,16.65,16.39,16.63,5208589
47,2024-01-31,16.63,16.65,16.25,16.32,5382180
48,2024-02-01,16.27,16.37,16.06,16.13,6211892
49,2024-02-02,16.06,16.27,16.06,16.13,7865577
50,2024-02-05,16.27,17.01,16.25,16.77,9602258
51,2024-02-06,16.84,17.1,16.82,16.84,4015381
52,2024-02-07,16.91,17.62,16.91,17.62,11169540
53,2024-02-15,17.71,18.4,17.69,18.14,13075633
54,2024-02-16,18.19,18.28,17.9,18.19,7221365
55,2024-02-19,18.21,18.45,18.16,18.38,9737540
56,2024-02-20,18.33,18.42,18.19,18.38,5415889
57,2024-02-21,18.31,18.59,18.23,18.42,7676668
58,2024-02-22,18.42,19.06,18.4,19.04,9648022
59,2024-02-23,19.25,20.01,18.9,18.94,16448608
60,2024-02-26,18.99,19.6,18.99,19.46,9618134
61,2024-02-27,19.56,19.82,19.37,19.82,8415616
62,2024-02-28,19.86,20.01,19.63,19.93,7526807
63,2024-02-29,20.05,20.05,19.53,19.93,9029623
64,2024-03-01,19.7,19.77,19.49,19.77,9293155
65,2024-03-04,19.72,19.93,19.53,19.77,8437205
66,2024-03-05,19.75,19.93,19.56,19.93,6318727
67,2024-03-06,19.86,20.55,19.75,20.19,11171492
68,2024-03-07,20.24,20.45,20.03,20.12,7216167
69,2024-03-08,20.05,20.12,19.37,19.37,20131010
70,2024-03-11,19.32,19.46,18.85,19.08,11185905
71,2024-03-12,19.06,19.51,18.94,19.46,8499431
72,2024-03-13,19.46,19.84,19.34,19.84,7894788
73,2024-03-14,19.89,19.89,19.49,19.56,6639948
74,2024-03-15,19.49,19.68,19.08,19.56,7543048
75,2024-03-18,19.46,19.46,18.61,18.94,11299700
76,2024-03-19,18.99,19.08,18.71,19.04,5332006
77,2024-03-20,19.08,20.05,18.92,19.98,16884851
78,2024-03-21,20.12,21.3,20.12,21.3,16928673
79,2024-03-22,21.49,21.49,20.81,21.21,10796262
80,2024-03-25,21.54,21.92,20.86,21.16,10740465
81,2024-03-26,21.16,21.82,21.02,21.71,7757903
82,2024-03-27,21.82,21.82,21.3,21.52,4641838
83,2024-03-28,23.01,23.01,22.53,22.67,30028687
84,2024-03-29,22.65,22.75,22.46,22.46,6406374
85,2024-04-01,22.46,22.53,22.13,22.41,8564819
86,2024-04-02,22.49,22.67,22.2,22.51,13562041
87,2024-04-03,22.39,22.65,22.11,22.11,8778957
88,2024-04-04,21.97,22.08,21.71,21.73,10760090
89,2024-04-05,21.49,21.68,21.33,21.35,12131797
90,2024-04-08,21.26,21.66,21.21,21.49,9966966
91,2024-04-09,21.49,21.64,21.35,21.64,5385947
92,2024-04-10,21.73,22.11,21.54,21.56,7756913
93,2024-04-11,21.28,21.56,21.23,21.3,11373211
94,2024-04-12,21.47,22.41,21.3,22.39,13459115
95,2024-04-15,22.3,22.41,20.88,20.97,13739872
96,2024-04-16,21.23,21.49,20.88,21.49,15156185
97,2024-04-17,21.49,21.54,21.09,21.19,7456878
98,2024-04-19,20.79,21.09,20.48,21.02,14448097
99,2024-04-22,21.42,21.59,21.21,21.38,6816117
100,2024-04-23,21.49,22.44,21.49,21.82,15596531
101,2024-04-24,22.11,22.23,21.92,22.2,7533958
102,2024-04-25,22.2,22.2,21.64,21.8,7163606
103,2024-04-26,21.73,22.16,21.56,22.01,5680011
104,2024-05-02,22.11,22.18,21.9,22.13,4353886
105,2024-05-03,22.44,23.05,22.39,22.77,13664700
106,2024-05-06,22.91,23.01,22.63,22.84,7909650
107,2024-05-07,22.84,22.84,22.53,22.63,9061661
108,2024-05-08,22.63,23.24,22.34,22.77,15389469
109,2024-05-09,22.96,23.1,22.58,22.89,8708397
110,2024-05-10,23.05,23.05,22.63,22.91,7682076
111,2024-05-13,22.91,22.98,22.67,22.86,6006849
112,2024-05-14,22.89,22.89,22.6,22.63,7474978
113,2024-05-15,22.63,22.75,22.56,22.72,9681815
114,2024-05-16,22.91,23.6,22.86,23.57,20869173
115,2024-05-17,23.5,23.62,23.45,23.5,6348270
116,2024-05-20,23.6,23.86,23.41,23.48,9309389
117,2024-05-21,23.43,23.48,22.92,22.99,11264825
118,2024-05-22,23.02,23.14,22.58,22.6,14671154
119,2024-05-23,22.55,22.72,22.33,22.65,7243128
120,2024-05-24,22.48,23.02,22.31,22.6,14621286
121,2024-05-27,22.6,22.7,22.41,22.65,5010003
122,2024-05-28,22.65,22.87,22.55,22.84,6017258
123,2024-05-29,22.89,22.92,22.6,22.65,6951088
124,2024-05-30,22.43,22.8,22.33,22.8,7576861
125,2024-05-31,22.8,22.89,22.55,22.89,5679440
126,2024-06-03,23.14,23.23,22.94,22.97,10684004
127,2024-06-04,23.14,23.28,22.89,23.19,9964364
128,2024-06-05,23.23,23.26,22.99,23.14,9263369
129,2024-06-06,23.16,23.38,22.99,23.38,13118227
130,2024-06-07,23.87,24.21,23.72,23.92,15468440
131,2024-06-10,24.11,24.11,23.55,23.82,8637322
132,2024-06-11,24.11,24.28,23.94,24.04,16592604
133,2024-06-12,24.04,24.11,23.87,24.06,9161206
134,2024-06-13,24.11,24.16,24.01,24.06,8427486
135,2024-06-14,24.11,24.14,23.92,23.92,9839879
136,2024-06-17,23.89,23.89,23.62,23.67,9691381
137,2024-06-18,23.67,23.92,23.48,23.77,10246777
138,2024-06-19,23.87,23.87,23.45,23.53,17033684
139,2024-06-20,23.92,24.5,23.87,24.16,34599114
140,2024-06-21,24.31,24.31,23.58,23.87,11698476
141,2024-06-24,23.87,23.87,22.99,23.33,14032254
142,2024-06-25,23.33,23.38,22.8,23.38,12075829
143,2024-06-26,23.33,23.38,22.94,23.38,7394131
144,2024-06-27,23.04,23.09,22.75,22.84,12342414
145,2024-06-28,22.84,22.89,21.92,22.75,21105358
146,2024-07-01,22.5,22.5,22.07,22.07,9016895
147,2024-07-02,22.26,22.6,22.07,22.31,9253603
148,2024-07-03,22.36,22.94,22.31,22.89,10188927
149,2024-07-04,22.89,22.94,22.7,22.89,5686704
150,2024-07-05,22.75,22.89,22.6,22.89,8380797
151,2024-07-08,22.89,22.89,22.5,22.84,6703888
152,2024-07-09,22.7,22.89,22.65,22.75,11392911
153,2024-07-10,22.8,22.84,22.5,22.55,10297074
154,2024-07-11,22.55,22.75,22.21,22.21,15429938
155,2024-07-12,22.26,22.41,22.21,22.21,5526545
156,2024-07-15,22.26,22.31,22.02,22.07,6051599
157,2024-07-16,22.07,22.26,21.97,22.11,11035888
158,2024-07-17,22.26,23.58,22.21,23.09,27359168
159,2024-07-18,23.09,23.23,22.7,23.09,11226991
160,2024-07-19,23.14,23.14,22.5,22.8,14099870
161,2024-07-22,22.7,23.19,22.41,23.04,14485586
162,2024-07-23,23.19,23.19,22.41,22.46,12478349
163,2024-07-24,22.26,22.6,22.26,22.41,10822075
164,2024-07-25,22.26,22.31,21.97,22.16,8308863
165,2024-07-26,22.11,22.26,22.02,22.16,6326136
166,2024-07-29,22.26,22.36,22.16,22.16,5202325
167,2024-07-30,22.11,22.36,22.02,22.36,6727083
168,2024-07-31,22.41,22.75,22.36,22.65,11007859
169,2024-08-01,22.6,22.65,21.97,22.41,11643253
170,2024-08-02,21.97,22.89,21.97,22.89,13703529
171,2024-08-05,22.41,22.41,21.72,21.72,16819189
172,2024-08-06,21.82,22.02,21.48,21.72,17675886
173,2024-08-07,21.82,21.82,21.19,21.24,19636192
174,2024-08-08,21.04,21.09,20.21,20.31,41073254
175,2024-08-09,20.46,20.75,20.46,20.56,14974409
176,2024-08-12,20.65,20.7,20.46,20.7,10353826
177,2024-08-13,20.65,20.65,20.36,20.46,11499009
178,2024-08-14,20.51,20.75,20.36,20.65,11839830
179,2024-08-15,20.65,20.65,20.41,20.6,9562517
180,2024-08-16,20.6,20.99,20.51,20.9,21424600
181,2024-08-19,20.99,21.38,20.85,21.33,15711012
182,2024-08-20,21.38,21.48,21.24,21.29,12418961
183,2024-08-21,21.14,21.53,20.99,21.43,20041089
184,2024-08-22,21.43,22.07,21.43,21.77,20787647
185,2024-08-23,21.77,21.92,21.63,21.82,11977375
186,2024-08-26,21.92,22.07,21.82,21.92,16946363
187,2024-08-27,21.92,22.11,21.87,22.07,15072855
188,2024-08-28,22.11,22.55,22.02,22.41,19151793
189,2024-08-29,22.41,22.65,22.41,22.41,16102717
190,2024-08-30,22.41,22.75,22.41,22.75,13280437
191,2024-09-04,22.46,22.65,22.26,22.41,13725792
192,2024-09-05,22.31,22.46,22.11,22.21,11380507
193,2024-09-06,22.21,22.36,22.07,22.21,12165338
194,2024-09-09,22.11,22.26,22.02,22.07,12274582
195,2024-09-10,22.11,22.16,21.63,21.68,14116274
196,2024-09-11,21.58,21.68,21.38,21.53,11249761
197,2024-09-12,21.72,21.82,21.58,21.72,9124443
198,2024-09-13,21.72,21.77,21.58,21.63,10106430
199,2024-09-16,21.63,22.11,21.63,21.63,11598745
200,2024-09-17,21.58,22.16,21.58,22.16,7240247
201,2024-09-18,22.16,22.5,22.11,22.41,15062112
202,2024-09-19,22.6,22.6,22.31,22.6,13437506
203,2024-09-20,22.7,23.09,22.7,22.94,30623690
204,2024-09-23,22.94,23.14,22.75,22.75,8237246
205,2024-09-24,22.7,22.99,22.7,22.94,11042954
206,2024-09-25,23.14,23.33,22.99,23.19,23434812
207,2024-09-26,23.19,23.77,23.04,23.48,26226987
208,2024-09-27,23.58,23.72,23.43,23.58,16815671
209,2024-09-30,23.53,23.72,23.33,23.58,21497874
210,2024-10-01,23.58,24.16,23.53,24.01,40743405
211,2024-10-02,23.92,24.5,23.72,24.26,28219803
212,2024-10-03,24.31,24.55,23.72,23.72,29764236
213,2024-10-04,23.72,23.82,23.43,23.43,21427781
214,2024-10-07,23.62,23.72,23.38,23.53,12848012
215,2024-10-08,23.58,23.97,23.58,23.77,16251986
216,2024-10-09,23.77,24.11,23.67,24.01,21680801
217,2024-10-10,24.26,24.36,23.92,23.92,18252674
218,2024-10-11,23.92,23.97,23.62,23.82,13921063
219,2024-10-14,23.92,23.97,23.72,23.72,11949473
220,2024-10-15,23.72,23.97,23.53,23.62,14130784
221,2024-10-16,23.58,23.67,23.48,23.58,9022845
222,2024-10-17,23.58,23.77,23.48,23.72,9425005
223,2024-10-18,23.82,24.16,23.77,23.82,15422976
224,2024-10-21,23.82,23.87,23.48,23.53,9749437
225,2024-10-22,23.58,23.77,23.38,23.58,16885208
226,2024-10-23,23.58,23.67,23.14,23.58,16768636
227,2024-10-24,23.53,23.58,22.94,23.04,14262964
228,2024-10-25,23.14,23.23,22.8,22.89,14330195
229,2024-10-28,22.89,23.09,22.84,23.04,7022053
230,2024-10-29,23.09,23.23,23.09,23.14,6287797
231,2024-10-30,23.19,23.38,23.14,23.38,11088867
232,2024-10-31,23.38,23.48,23.23,23.28,8624235
233,2024-11-01,23.23,23.38,23.09,23.09,14553393
234,2024-11-04,23.14,23.14,22.8,22.84,13934054
235,2024-11-05,22.89,23.04,22.84,22.84,9924065
236,2024-11-06,22.99,23.43,22.99,23.28,15683373
237,2024-11-07,23.53,23.53,23.23,23.23,8604442
238,2024-11-08,23.38,23.38,22.84,22.99,13102508
239,2024-11-11,23.09,23.09,22.46,22.6,15364267
240,2024-11-12,22.8,22.8,22.31,22.46,12496159
241,2024-11-13,22.41,22.55,22.11,22.55,13329055
242,2024-11-14,22.41,22.46,22.16,22.21,7431590
243,2024-11-15,22.21,22.21,21.82,21.87,14457717
244,2024-11-18,21.82,22.11,21.63,21.87,12113846
245,2024-11-19,21.97,21.97,21.63,21.82,6938404
246,2024-11-20,21.72,22.26,21.68,22.26,10250924
247,2024-11-21,22.21,22.6,22.02,22.6,11215198
248,2024-11-22,22.6,22.94,22.55,22.89,14408768
249,2024-11-25,22.89,22.99,22.8,22.89,7189987
250,2024-11-26,22.89,23.09,22.84,22.94,6760139
251,2024-11-27,22.89,22.99,22.75,22.89,6390433
252,2024-11-28,23.04,23.09,22.8,22.99,8138330
253,2024-11-29,22.89,22.99,22.75,22.99,8449424
254,2024-12-02,23.09,23.09,22.8,23.04,6571784
255,2024-12-03,23.04,23.14,22.84,23.04,8334958
256,2024-12-04,22.84,22.99,22.8,22.84,8182047
257,2024-12-05,22.84,23.58,22.75,23.58,14192447
258,2024-12-06,23.58,23.62,23.33,23.53,10925374
259,2024-12-09,23.48,23.67,23.33,23.53,7600705
260,2024-12-10,23.43,23.58,23.38,23.43,7041729
261,2024-12-11,23.43,23.67,23.38,23.53,10344544
262,2024-12-12,23.58,23.87,23.53,23.62,18547474
263,2024-12-13,23.67,23.92,23.48,23.72,11023193
264,2024-12-16,23.67,23.77,23.48,23.67,6359244
265,2024-12-17,23.77,23.77,23.53,23.58,5388918
266,2024-12-18,23.62,23.67,23.48,23.58,5788184
267,2024-12-19,23.38,23.43,23.14,23.14,15033048
268,2024-12-20,23.23,23.33,23.19,23.19,4595681
269,2024-12-23,23.38,23.43,23.19,23.28,3210950
270,2024-12-24,23.43,23.43,23.19,23.38,5176984
271,2024-12-25,23.38,24.26,23.33,23.82,18375223
272,2024-12-26,23.87,23.92,23.67,23.72,5478381
273,2024-12-27,23.87,24.26,23.82,23.97,15399674
274,2024-12-30,24.11,24.11,23.72,23.77,10149321
275,2024-12-31,23.72,24.01,23.72,24.01,9406421
276,2025-01-02,24.01,24.06,23.67,23.72,7837356
277,2025-01-03,23.72,23.72,22.99,22.99,17431953
278,2025-01-06,22.99,23.23,22.89,22.99,8135904
279,2025-01-07,23.28,23.28,22.94,23.04,7617413
280,2025-01-08,23.19,23.67,23.04,23.33,11949407
281,2025-01-09,23.43,23.43,23.14,23.33,4711000
282,2025-01-10,23.38,23.38,22.8,22.8,6234699
283,2025-01-13,22.6,23.19,22.55,23.19,7942307
284,2025-01-14,22.94,23.14,22.89,22.99,4182199
285,2025-01-15,23.19,23.28,23.04,23.09,6721878
286,2025-01-16,23.23,23.33,22.99,23.23,8076279
287,2025-01-17,23.23,23.77,23.14,23.77,10018863
288,2025-01-20,23.77,23.87,23.62,23.77,5186505
289,2025-01-21,23.77,23.87,23.53,23.58,8130150
290,2025-01-22,23.82,23.82,23.53,23.58,7456929
291,2025-01-23,23.72,24.21,23.62,23.97,21074649
292,2025-01-24,24.16,24.21,24.01,24.11,10335094
293,2025-02-03,23.87,24.06,23.62,23.62,10890445
294,2025-02-04,23.72,24.06,23.67,24.01,12474459
295,2025-02-05,24.21,24.26,23.92,24.06,9434481
296,2025-02-06,24.26,24.84,24.16,24.55,37590102
297,2025-02-07,24.79,25.13,24.55,25.09,26592116
298,2025-02-10,25.09,25.57,24.79,25.09,22162122
299,2025-02-11,25.43,25.48,25.09,25.23,15672911
300,2025-02-12,25.33,25.33,25.04,25.04,11529344
301,2025-02-13,24.94,25.33,24.89,25.28,11957480
302,2025-02-14,25.43,25.52,25.23,25.33,10244176
303,2025-02-17,25.33,25.43,25.04,25.04,10977841
304,2025-02-18,25.04,25.43,24.99,25.18,10761082
305,2025-02-19,25.28,25.48,25.13,25.43,12942381
