,time,open,high,low,close,volume
0,2023-11-24,12.42,12.65,11.88,12.65,56872317
1,2023-11-27,12.65,12.65,12.23,12.27,22106287
2,2023-11-28,12.27,12.42,11.81,12.38,35577979
3,2023-11-29,12.49,12.61,12.34,12.53,24057246
4,2023-11-30,12.46,12.87,12.46,12.49,38618995
5,2023-12-01,12.65,12.84,12.42,12.72,29428437
6,2023-12-04,13.07,13.6,13.03,13.56,68855918
7,2023-12-05,13.56,13.67,13.41,13.48,32039232
8,2023-12-06,13.48,13.83,13.41,13.75,29391050
9,2023-12-07,13.75,13.79,12.95,13.29,73901842
10,2023-12-08,13.33,13.41,12.95,13.1,23887806
11,2023-12-11,12.95,13.18,12.65,13.03,41146251
12,2023-12-12,13.1,13.22,12.99,13.03,12591758
13,2023-12-13,13.18,13.22,12.65,12.65,28229674
14,2023-12-14,12.84,12.87,12.49,12.53,24080111
15,2023-12-15,12.49,12.87,12.42,12.57,24040417
16,2023-12-18,12.65,12.68,12.46,12.49,12673206
17,2023-12-19,12.49,12.8,12.46,12.8,16403000
18,2023-12-20,12.87,13.07,12.72,12.91,17485550
19,2023-12-21,12.72,12.87,12.72,12.84,10024125
20,2023-12-22,12.87,13.07,12.68,12.72,19624313
21,2023-12-25,12.76,13.03,12.65,12.87,19448495
22,2023-12-26,12.99,13.1,12.91,13.03,15366048
23,2023-12-27,13.1,13.29,13.03,13.03,19919955
24,2023-12-28,12.99,13.18,12.95,13.03,17097182
25,2023-12-29,13.1,13.14,12.99,13.03,13099145
26,2024-01-02,13.18,13.22,12.3,12.49,51750576
27,2024-01-03,12.46,12.68,12.46,12.68,13675809
28,2024-01-04,12.72,13.14,12.72,12.76,31659189
29,2024-01-05,12.87,12.87,12.65,12.76,12796484
30,2024-01-08,12.87,13.07,12.76,12.87,20213131
31,2024-01-09,12.99,13.18,12.87,12.91,25705983
32,2024-01-10,12.91,12.95,12.65,12.72,18716164
33,2024-01-11,12.87,13.18,12.8,13.1,42524459
34,2024-01-12,12.99,13.22,12.84,12.91,36638892
35,2024-01-15,13.03,13.1,12.72,12.72,21284629
36,2024-01-16,12.68,12.99,12.65,12.99,17249272
37,2024-01-17,13.07,13.67,12.99,13.29,52836086
38,2024-01-18,13.33,13.48,13.22,13.29,19274028
39,2024-01-19,13.56,13.64,13.18,13.22,26835493
40,2024-01-22,13.33,13.41,12.99,13.22,23013519
41,2024-01-23,13.26,13.33,13.18,13.22,16663747
42,2024-01-24,13.22,13.48,13.22,13.26,24401060
43,2024-01-25,13.37,13.37,13.22,13.22,9970417
44,2024-01-26,13.22,13.33,13.18,13.22,13986586
45,2024-01-29,13.26,13.37,13.14,13.14,14753642
46,2024-01-30,13.14,13.26,13.03,13.26,14189067
47,2024-01-31,13.29,13.64,13.26,13.29,37304438
48,2024-02-01,13.33,13.37,13.22,13.26,12075260
49,2024-02-02,13.37,13.71,13.29,13.48,39028355
50,2024-02-05,13.52,13.64,13.45,13.56,15560891
51,2024-02-06,13.64,13.94,13.6,13.71,25534514
52,2024-02-07,13.79,13.9,13.6,13.79,16142433
53,2024-02-15,13.87,13.9,13.56,13.6,24616350
54,2024-02-16,13.6,13.83,13.56,13.67,21896804
55,2024-02-19,13.67,13.71,13.33,13.64,27342174
56,2024-02-20,13.71,14.25,13.71,13.94,49431837
57,2024-02-21,13.98,14.09,13.83,13.98,24694970
58,2024-02-22,13.94,14.02,13.75,13.75,15184124
59,2024-02-23,13.87,13.87,13.29,13.33,37260198
60,2024-02-26,13.29,13.83,13.18,13.67,24951633
61,2024-02-27,13.79,14.06,13.64,13.79,22085902
62,2024-02-28,13.87,14.06,13.71,13.83,28146337
63,2024-02-29,13.94,14.32,13.83,13.94,36502953
64,2024-03-01,13.98,14.44,13.98,14.4,38401521
